"Account_Number","Batch_Number","Lab_Number","PosNo","Assoc_Number","Line_Number","Date_Sampled","Date_Received","Date_Reported","Grower","Field_ID","Sample_ID","Submitted_by","Company","Address_1","Address_2","City_State_Zip","Depth_1","Depth_2","Depth_3","Soil_pH","Buffer_pH","Lime_Legume_T_A","Lime_Non_T_A","Excess_Lime","Soluble_Salts","OM_pct","NO3_D1_ppm","NO3_D1_lbs_A","NO3_D2_ppm","NO3_D2_lbs_A","NO3_D3_ppm","NO3_D3_lbs_A","NO3_Total_lbs_A","NO3_Total_Depth","Bray_P1_ppm","Bicarb_P_ppm","Bray_P2_ppm","Mehlich2_P_ppm","Mehlich3_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","Base_Sat_pct","H_Sat_pct","Ca_Sat_pct","Mg_Sat_pct","K_Sat_pct","Na_Sat_pct","SOL_Ca_me_L","SOL_Mg_me_L","SOL_Na_me_L","SAR","ESP","Gypsum_T_A","Sand_pct","Silt_pct","Clay_pct","Soil_Texture","Cl_D1_ppm","Cl_D1_lbs_A","Cl_D2_ppm","Cl_D2_lbs_A","Cl_Total_lbs_A","NH4_D1_ppm","NH4_D1_lbs_A","Al_ppm","Total_Nitrogen_pct","xCrop_Name","xCrop_Yield_Unit","xRec_N_lbs_A","xRec_P2O5_lbs_A","xRec_K2O_lbs_A","xRec_S_lbs_A","xRec_Zn_lbs_A","xRec_MgO_lbs_A","xRec_Fe_lbs_A","xRec_Mn_lbs_A","xRec_Cu_lbs_A","xRec_B_lbs_A","xRec_Cl_lbs_A","xRec_Lime_T_A","HM_As_ppm","HM_Ba_ppm","HM_Cd_ppm","HM_Cr_ppm","HM_Co_ppm","HM_Pb_ppm","HM_Mo_ppm","HM_Ni_ppm","HM_Se_ppm","HM_Ag_ppm"
"42150","081001","359914","","147104","1","","8/10/2001","8/24/2001","PCP: FIELD 2","","S1 8 03 01   0 12","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","7.6","","","","N","0.46","3.6","5.1","18","","","","","18","","","39","","","","10","683","980","245","276","3.4","80.0","41.0","3.5","0.8","9.9","100","0","50","21","18","11","","","","8.86","11","2.5","","","","","","","","","","","","","","DALLIS GRASS","6 T/A","230","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"42150","081001","359915","","147104","2","","8/10/2001","8/24/2001","PCP: FIELD 2","","S1 8 03 01  13 24","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","7.9","","","","N","0.56","0.5","7.8","28","","","","","28","","","3","","","","13","215","1640","467","346","0.4","34.4","32.8","1.5","0.7","14.1","100","0","57","28","4","11","","","","9.39","11","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","081001","359916","","147104","3","","8/10/2001","8/24/2001","PCP: FIELD 2","","S1 8 03 01  25 36","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","8.0","","","","N","0.4","0.5","3.6","13","","","","","13","","","4","","","","9","161","1770","410","548","0.6","43.3","34.3","2.2","0.8","15.1","100","0","58","23","3","16","","","","14.12","16","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","081001","359917","","147104","4","","8/10/2001","8/24/2001","PCP: FIELD 2","","S1 8 03 01  37 48","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","8.1","","","","N","0.4","1.3","4.1","15","","","","","15","","","12","","","","7","289","1140","259","461","1.1","67.3","42.0","3.1","0.8","10.6","100","0","54","20","7","19","","","","17.17","19","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","081001","359918","","147101","1","","8/10/2001","8/24/2001","PCP: FIELD 3","","S2 8 03 01   0 12","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","7.8","","","","N","0.6","3.3","2.1","8","","","","","8","","","11","","","","17","457","1140","263","492","2.1","72.9","44.5","3.5","0.8","11.2","100","0","50","20","10","20","","","","17.76","20","0","","","","","","","","","","","","","","DALLIS GRASS","6 T/A","240","30","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"42150","081001","359919","","147101","2","","8/10/2001","8/24/2001","PCP: FIELD 3","","S2 8 03 01  13 24","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","8.1","","","","N","0.96","1.7","3.8","14","","","","","14","","","5","","","","25","281","1330","301","662","0.8","59.7","42.8","3.2","1.1","12.8","100","0","53","20","6","21","","","","19.12","21","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","081001","359920","","147101","3","","8/10/2001","8/24/2001","PCP: FIELD 3","","S2 8 03 01  25 36","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","8.4","","","","N","0.74","0.9","2.4","9","","","","","9","","","4","","","","24","172","1410","343","659","0.4","43.3","39.2","2.7","0.8","13.2","100","0","52","22","3","23","","","","21.38","23","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","081001","359921","","147101","4","","8/10/2001","8/24/2001","PCP: FIELD 3","","S2 8 03 01  37 48","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","8.2","","","","N","0.72","0.4","0.8","3","","","","","3","","","3","","","","14","117","1550","445","680","0.1","35.6","31.4","1.9","0.4","14.7","100","0","54","25","2","19","","","","16.40","19","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","081001","359922","","147102","1","","8/10/2001","8/24/2001","PCP: FIELD 4","","S3 8 03 01   0 12","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","8.1","","","","N","0.7","1.8","4.3","15","","","","","15","","","8","","","","35","375","1490","143","235","0.7","57.7","44.0","3.3","0.9","10.6","100","0","62","11","9","18","","","","15.35","18","0","","","","","","","","","","","","","","DALLIS GRASS","6 T/A","230","60","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"42150","081001","359923","","147102","2","","8/10/2001","8/24/2001","PCP: FIELD 4","","S3 8 03 01  13 24","MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","8.4","","","","N","0.86","0.9","1.4","5","","","","","5","","","4","","","","52","234","1380","297","554","0.3","47.6","42.7","3.0","0.8","12.4","100","0","64","20","5","11","","","","8.84","11","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
