"Account_Number","Batch_Number","Lab_Number","PosNo","Assoc_Number","Line_Number","Date_Sampled","Date_Received","Date_Reported","Grower","Field_ID","Sample_ID","Submitted_by","Company","Address_1","Address_2","City_State_Zip","Depth_1","Depth_2","Depth_3","Soil_pH","Buffer_pH","Lime_Legume_T_A","Lime_Non_T_A","Excess_Lime","Soluble_Salts","OM_pct","NO3_D1_ppm","NO3_D1_lbs_A","NO3_D2_ppm","NO3_D2_lbs_A","NO3_D3_ppm","NO3_D3_lbs_A","NO3_Total_lbs_A","NO3_Total_Depth","Bray_P1_ppm","Bicarb_P_ppm","Bray_P2_ppm","Mehlich2_P_ppm","Mehlich3_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","Base_Sat_pct","H_Sat_pct","Ca_Sat_pct","Mg_Sat_pct","K_Sat_pct","Na_Sat_pct","SOL_Ca_me_L","SOL_Mg_me_L","SOL_Na_me_L","SAR","ESP","Gypsum_T_A","Sand_pct","Silt_pct","Clay_pct","Soil_Texture","Cl_D1_ppm","Cl_D1_lbs_A","Cl_D2_ppm","Cl_D2_lbs_A","Cl_Total_lbs_A","NH4_D1_ppm","NH4_D1_lbs_A","Al_ppm","Total_Nitrogen_pct","xCrop_Name","xCrop_Yield_Unit","xRec_N_lbs_A","xRec_P2O5_lbs_A","xRec_K2O_lbs_A","xRec_S_lbs_A","xRec_Zn_lbs_A","xRec_MgO_lbs_A","xRec_Fe_lbs_A","xRec_Mn_lbs_A","xRec_Cu_lbs_A","xRec_B_lbs_A","xRec_Cl_lbs_A","xRec_Lime_T_A","HM_As_ppm","HM_Ba_ppm","HM_Cd_ppm","HM_Cr_ppm","HM_Co_ppm","HM_Pb_ppm","HM_Mo_ppm","HM_Ni_ppm","HM_Se_ppm","HM_Ag_ppm"
"42220","121713","1167382","1","1167382","1","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","A1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","8.0","","","","L","0.84","2.1","1.1","4","","","","","5","24","","35","","","","40","737","1390","145","136","1.3","57.1","19.5","3.3","1.2","10.6","100","0","65","11","18","6","2.74","0.35","5.77","4.64","6","0","","","","","","","","","","","","","0.160","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167383","2","1167382","2","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","A1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","12-24","","","8.4","","","","L","0.96","1.3","0.4","1","","","","","","","","16","","","","44","494","1110","258","394","0.5","47.4","30.3","2.9","1.1","10.7","100","0","47","20","12","21","2.07","0.64","17.04","14.64","21","1.9","","","","","","","","","","","","","0.100","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167384","3","1167382","3","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","B1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.8","","","","L","0.76","3.0","1.3","5","","","","","8","24","","40","","","","36","839","1440","102","82","1.8","63.0","12.9","3.5","1.4","10.6","100","0","69","8","20","3","2.64","0.01","3.31","2.88","3","0","","","","","","","","","","","","","0.190","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167385","4","1167382","4","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","B1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","12-24","","","8.1","","","","L","1.14","1.5","0.8","3","","","","","","","","18","","","","51","526","1180","210","253","0.5","41.9","23.1","2.7","1.0","10.1","100","0","57","17","13","13","1.51","0.03","8.24","9.39","13","1.5","","","","","","","","","","","","","0.090","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167386","5","1167382","5","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","C1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","8.3","","","","L","0.94","3.1","2.3","8","","","","","12","24","","36","","","","29","765","1210","95","91","1.1","34.2","10.7","2.0","1.0","9.2","100","0","66","9","21","4","2.52","0.01","4.35","3.87","4","0","","","","","","","","","","","","","0.180","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167387","6","1167382","6","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","C1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","12-24","","","8.2","","","","L","1.14","1.3","1.0","4","","","","","","","","17","","","","48","429","1400","230","381","0.5","37.5","12.7","2.2","1.3","11.7","100","0","59","16","9","16","2.33","0.47","13.49","11.40","16","0.9","","","","","","","","","","","","","0.070","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167388","7","1167388","1","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","D1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","7.9","","","","L","1.22","2.7","1.1","4","","","","","12","24","","45","","","","47","813","1600","180","212","1.9","70.8","10.0","3.6","1.8","12.5","100","0","63","12","17","8","3.29","0.40","8.15","6.00","8","1.5","","","","","","","","","","","","","0.170","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167389","8","1167388","2","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","D1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","12-24","","","8.3","","","","L","1.94","1.4","2.2","8","","","","","","","","18","","","","83","317","1240","400","693","0.5","37.1","7.8","2.5","1.4","13.4","100","0","37","25","6","32","0.81","0.01","14.37","22.44","32","1.2","","","","","","","","","","","","","0.070","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167390","9","1167388","3","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","E1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","0-12","","","8.0","","","","L","0.92","2.9","2.6","9","","","","","19","24","","43","","","","24","878","1400","175","194","2.0","62.0","9.2","3.3","1.5","11.6","100","0","59","13","19","9","1.67","0.01","6.39","6.97","9","0.6","","","","","","","","","","","","","0.180","","","","","","","","","","","","","","","","","","","","","","","",""
"42220","121713","1167391","10","1167388","4","","12/17/2013","1/21/2014","PCP FIELD 4","F4 12 6 13","E1","BILL SCHEURER","PACIFIC COAST PRODUCERS","8080 RAILROAD AVE","PO BOX 254","PALERMO CA  95968","12-24","","","8.5","","","","L","1.28","1.3","2.7","10","","","","","","","","18","","","","34","330","1180","405","741","0.6","44.0","7.3","2.8","1.4","13.3","100","0","39","25","6","30","0.55","0.01","11.28","21.32","30","1.9","","","","","","","","","","","","","0.070","","","","","","","","","","","","","","","","","","","","","","","",""
