"Date_Sampled","Year","Irr_season","Depth_1","Field_ID","Soil_pH","Soluble_Salts","OM_pct","NO3_D1_ppm","Bicarb_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","treatment"
2003-09-10,2003,"During","37-48","F2",8.2,0.5,0.2,0.9,8,3,105,1140,296,531,0.5,21.4,15.3,1.5,0.7,10.7,"Sodium"
2003-10-22,2003,"During","0-12","F2",8,0.46,1.6,6.8,24,4,528,850,214,539,2.1,52.5,10.9,2.7,0.8,9.7,"Sodium"
2003-10-22,2003,"During","13-24","F2",8.1,0.62,0.9,5.8,10,6,193,1400,345,732,0.5,28.1,6.7,2.1,0.6,13.6,"Sodium"
2003-10-22,2003,"During","25-36","F2",8,0.6,0.9,5.3,11,8,207,1390,341,729,0.6,29.8,7.2,2.1,0.7,13.5,"Sodium"
2003-10-22,2003,"During","37-48","F2",8,0.64,0.4,4.5,8,9,138,1390,359,692,0.8,31,7.6,2.3,0.5,13.3,"Sodium"
2004-06-15,2004,"Before","0-12","F2",7.2,0.4,2.5,6.3,51,9,652,810,203,271,3.7,79.9,47.2,3.6,0.9,8.6,"Sodium"
2004-06-15,2004,"Before","13-24","F2",7.8,0.42,2.1,7,45,9,682,700,196,411,7.8,79,51.1,3.5,0.4,8.7,"Sodium"
2004-06-15,2004,"Before","25-36","F2",8.8,0.6,0.4,5,14,6,207,980,248,793,0.8,20.7,19.7,1.8,0.3,10.9,"Sodium"
2004-06-15,2004,"Before","37-48","F2",8.5,0.54,0.9,11.4,28,8,447,810,215,599,1.2,34.6,26.5,2.3,0.3,9.6,"Sodium"
2004-04-22,2004,"Before","0-12","F2",8.6,0.7,1,9.5,16,25,484,950,217,696,1.1,30.9,16,2.8,1,10.8,"Sodium"
2004-04-22,2004,"Before","13-24","F2",9,0.52,0.3,5.4,6,24,85,1020,248,875,0.5,14.2,11.3,1.3,0.8,11.2,"Sodium"
2004-04-22,2004,"Before","25-36","F2",8.8,0.76,0.6,9.4,8,27,93,1080,291,800,0.4,18.6,5.8,1.3,0.7,11.5,"Sodium"
