"Date_Sampled","Year","Irr_season","Depth_1","Field_ID","Soil_pH","Soluble_Salts","OM_pct","NO3_D1_ppm","Bicarb_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","treatment"
2000-04-14,2000,"Before","0-12","F2",-1.04887688138746,-0.656395291172369,2.35837275132026,-0.384824470315602,1.07980431992791,-0.723569317809632,1.1633858264308,0.0480673640083066,-0.394823236681123,-1.21278225344754,-0.54718317402173,-0.301495869218407,2.42041918963801,-0.357798583427892,-0.423281987737211,0.0212608458155652,"Sodium"
2000-04-14,2000,"Before","13-24","F2",-1.25399998117493,-0.793228344070982,0.133609570814223,-0.209143879524813,-0.5163703494952,-0.745349371751458,-0.671379839517335,0.250610760440255,-0.428805943538916,-1.13552308976697,-0.560053048322918,-0.416719972012785,2.12298342043751,-0.380046798137887,-0.446487797466905,-0.018824983032213,"Sodium"
2000-04-14,2000,"Before","25-36","F2",-1.66424618074987,-0.565173255906628,-0.713919259854742,-0.486534286036585,-0.782399461065718,-0.505768778391372,-1.01765955675262,0.942634031582745,0.684127706053808,-1.3628857714555,-0.568181389986826,-0.554188110095652,1.17522198637491,-0.446791442267872,-0.446487797466905,0.70271993622779,"Sodium"
2001-08-03,2001,"During","0-12","F2",-0.63863068181253,-0.838839361703853,2.5702549589875,-0.125926757571282,2.321273507257,-0.68000920992598,2.30042370391978,0.183096294962939,-0.369336206537778,-0.961138120316543,-0.545828450411079,-0.312617886862652,1.34662564998198,-0.357798583427892,-0.431017257647109,0.3219045621739,"Sodium"
2001-08-03,2001,"During","13-24","F2",-0.0232613824501251,-0.610784273539498,-0.713919259854742,0.123724608289312,-0.871075831589225,-0.614669048100502,-0.118365962738602,1.29708497533865,0.573683908765981,-0.806619792955405,-0.566149304570849,-0.51548348869368,0.933240343635528,-0.446791442267872,-0.438752527557007,1.16370696797724,"Sodium"
2001-08-03,2001,"During","25-36","F2",0.181861717337342,-0.975672414602465,-0.713919259854742,-0.264621960827168,-0.782399461065718,-0.701789263867806,-0.397457078122262,1.51650698813993,0.331557122404205,-0.360724048284693,-0.564794580960198,-0.475889105880168,1.00885960699159,-0.415643941673879,-0.431017257647109,1.36413611221613,"Sodium"
2001-08-03,2001,"During","37-48","F2",0.386984817124809,-0.975672414602465,0.133609570814223,-0.218390226408539,-0.0729884968776685,-0.745349371751458,0.264092232416783,0.453154156872203,-0.30986646953664,-0.552768255147822,-0.56140777193357,-0.369117736495416,1.39703849221935,-0.375597155195888,-0.431017257647109,0.462204963141122,"Sodium"
2001-06-21,2001,"Before","0-12","F2",-1.66424618074987,-0.15467409721079,1.51084392065129,6.61466012066477,2.76465535987453,-0.658229155984154,2.5950198812692,0.0987032131162937,-0.216414025677709,-0.892708575342325,-0.545151088605753,-0.341535132737689,1.25588253395471,-0.313302154007902,-0.431017257647109,0.382033305445567,"Sodium"
2001-06-21,2001,"Before","13-24","F2",-0.843753781599997,-0.428340203008015,0.0276684669806019,2.82365789833722,0.19304061469285,-0.745349371751458,0.889463065035724,0.706333402412138,-0.30986646953664,-0.471094282114077,-0.560053048322918,-0.446082098593591,1.61885499806379,-0.393395726963884,-0.431017257647109,0.70271993622779,"Sodium"
2001-06-21,2001,"Before","25-36","F2",-0.843753781599997,-0.793228344070982,-0.29015484452026,1.62163280345288,-0.250341237924681,-0.68000920992598,0.119378320736367,1.22957050986134,-0.029509137959847,-0.429153593258911,-0.563439857349547,-0.483896958584024,1.35166693420572,-0.415643941673879,-0.438752527557007,1.06349239585779,"Sodium"
2001-06-21,2001,"Before","37-48","F2",-1.04887688138746,-0.519562238273757,-0.607978156021122,0.881925052754821,-0.605046720018706,-0.658229155984154,-0.294089998350536,1.39835667355463,0.191378456615808,-0.530694208381945,-0.566149304570849,-0.509255158812903,1.17522198637491,-0.437892156383874,-0.438752527557007,1.18374988240113,"Sodium"
2001-10-18,2001,"During","0-12","F2",-0.843753781599997,-0.109063079577919,2.5702549589875,-0.0981877169201047,2.58730261882752,-0.57110894021685,2.75007050092679,-0.0700829505769965,-0.352344853108881,-0.901538194048675,-0.544473726800428,-0.377570469905042,1.2004284074936,-0.380046798137887,-0.431017257647109,0.241732904478344,"Sodium"
2002-04-12,2002,"Before","0-12","F2",0.592107916912276,-0.382729185375144,0.981138401483188,0.576795605591872,1.25715706097492,-0.658229155984154,1.64921110135791,0.0818245967469647,-0.424558105181692,-0.398249927786684,-0.545828450411079,-0.369562617201186,0.897951354069368,-0.340000011659896,-0.431017257647109,0.462204963141122,"Sodium"
2002-04-12,2002,"Before","13-24","F2",0.592107916912276,-0.793228344070982,-0.29015484452026,0.493578483638341,-0.339017608448187,-0.636449102042328,-0.0149988829668767,0.267489376809584,-0.356592691466106,-0.0406503701794795,-0.56140777193357,-0.51414884657637,0.484566047722916,-0.397845369905883,-0.407811447917415,0.341947476597789,"Sodium"
2002-04-12,2002,"Before","25-36","F2",0.797231016699747,-0.656395291172369,-0.607978156021122,-0.00572424808284755,-0.871075831589225,-0.614669048100502,-0.712726671426026,0.891998182474758,0.340052799118653,-0.272427861221186,-0.566149304570849,-0.588443924439927,0.0157266149153542,-0.442341799325873,-0.454223067376803,0.722762850651679,"Sodium"
